  
 ****** Capacitance Coefficient Arrays ******
  
        I       J         Cg Value
  
        1.      1.     0.92558E-10
        1.      2.    -0.42854E-10
        1.      3.    -0.22439E-11
        1.      4.    -0.64848E-12
        1.      5.    -0.30549E-12
        1.      6.    -0.16045E-12
        1.      7.    -0.74014E-13
        1.      8.    -0.87096E-13
        1.      9.    -0.91033E-13
        1.     10.    -0.99201E-13
        1.     11.    -0.11586E-12
        1.     12.    -0.14872E-12
        1.     13.    -0.22383E-12
        1.     14.    -0.47673E-12
        1.     15.    -0.19590E-11
        1.     16.    -0.43070E-10
        2.      1.    -0.42854E-10
        2.      2.     0.96261E-10
        2.      3.    -0.47463E-10
        2.      4.    -0.21525E-11
        2.      5.    -0.51186E-12
        2.      6.    -0.18314E-12
        2.      7.    -0.67713E-13
        2.      8.    -0.73983E-13
        2.      9.    -0.72787E-13
        2.     10.    -0.74635E-13
        2.     11.    -0.81489E-13
        2.     12.    -0.96004E-13
        2.     13.    -0.12507E-12
        2.     14.    -0.19307E-12
        2.     15.    -0.43187E-12
        2.     16.    -0.18794E-11
        3.      1.    -0.22439E-11
        3.      2.    -0.47463E-10
        3.      3.     0.26815E-09
        3.      4.    -0.20112E-09
        3.      5.    -0.13184E-10
        3.      6.    -0.20356E-11
        3.      7.    -0.18322E-12
        3.      8.    -0.16044E-12
        3.      9.    -0.13799E-12
        3.     10.    -0.12705E-12
        3.     11.    -0.12560E-12
        3.     12.    -0.13362E-12
        3.     13.    -0.15413E-12
        3.     14.    -0.19628E-12
        3.     15.    -0.29132E-12
        3.     16.    -0.59289E-12
        4.      1.    -0.64848E-12
        4.      2.    -0.21525E-11
        4.      3.    -0.20112E-09
        4.      4.     0.42590E-09
        4.      5.    -0.20634E-09
        4.      6.    -0.13188E-10
        4.      7.    -0.51251E-12
        4.      8.    -0.30581E-12
        4.      9.    -0.21967E-12
        4.     10.    -0.17945E-12
        4.     11.    -0.16065E-12
        4.     12.    -0.15569E-12
        4.     13.    -0.16301E-12
        4.     14.    -0.18516E-12
        4.     15.    -0.23179E-12
        4.     16.    -0.33527E-12
        5.      1.    -0.30549E-12
        5.      2.    -0.51186E-12
        5.      3.    -0.13184E-10
        5.      4.    -0.20634E-09
        5.      5.     0.42600E-09
        5.      6.    -0.20123E-09
        5.      7.    -0.21534E-11
        5.      8.    -0.64811E-12
        5.      9.    -0.33501E-12
        5.     10.    -0.23151E-12
        5.     11.    -0.18493E-12
        5.     12.    -0.16278E-12
        5.     13.    -0.15550E-12
        5.     14.    -0.16044E-12
        5.     15.    -0.17922E-12
        5.     16.    -0.21935E-12
        6.      1.    -0.16045E-12
        6.      2.    -0.18314E-12
        6.      3.    -0.20356E-11
        6.      4.    -0.13188E-10
        6.      5.    -0.20123E-09
        6.      6.     0.26825E-09
        6.      7.    -0.47457E-10
        6.      8.    -0.22431E-11
        6.      9.    -0.59293E-12
        6.     10.    -0.29128E-12
        6.     11.    -0.19628E-12
        6.     12.    -0.15411E-12
        6.     13.    -0.13364E-12
